FID,x,y,prb,old_pt,id,POINT_X,POINT_Y,Flow,Panel,Wshed,Order_100K
91,7696517.559659343200000,692398.800055438650000,0.000293579770230,1307.000000000000000,1104,-122.473734624000000,45.548917951900002,Perennial,3,Columbia Slough,1
92,7653998.718439959000000,662141.299762802080000,0.000293579770230,903.000000000000000,1184,-122.636525781000000,45.462991781100001,Perennial,3,Johnson Creek,2
93,7688766.918606062400000,692261.102660471340000,0.000293579770230,0.000000000000000,1360,-122.503966586999990,45.548017165600001,Perennial,3,Columbia Slough,1
94,7659295.551736212300000,703725.655009434790000,0.000293579770230,1394.000000000000000,1473,-122.620140811000000,45.577387291199997,Perennial,3,Columbia Slough,1
95,7675616.685416800000000,660486.314583200030000,0.000293579770230,0.000000000000000,0316,-122.552130999000000,45.459990988700000,Perennial,3,Johnson Creek,1
96,7672641.704348537100000,701457.143579385480000,0.000293579770230,0.000000000000000,1089,-122.567808344000000,45.572116288399997,Perennial,4,Columbia Slough,1
97,7628094.821522310400000,675267.719424000010000,0.000293579770230,1115.000000000000000,1194,-122.738867588000010,45.497056907299999,Perennial,4,Fanno Creek,1
98,7658789.504491689600000,662179.180969109880000,0.000293579770230,0.000000000000000,1612,-122.617863514000010,45.463441568199997,Perennial,4,Johnson Creek,2
99,7628234.783357597000000,674104.525321200490000,0.000293579770230,1098.000000000000000,1642,-122.738196298000010,45.493878479499998,Perennial,4,Fanno Creek,1
100,7644976.969768331400000,661120.362812952140000,0.000293579770230,0.000000000000000,1744,-122.671569275000000,45.459532980900001,Perennial,4,Willamette Streams,1
101,7611423.540190687400000,719432.375818343950000,0.000293579770230,1537.000000000000000,1769,-122.808779388000000,45.616850315000001,Perennial,4,Willamette Streams,1
102,7632051.705811581600000,660089.532759377970000,0.000293579770230,881.000000000000000,1778,-122.721814162000000,45.455742971299998,Perennial,4,Fanno Creek,1
103,7676449.084816143800000,699359.450678656340000,0.000293579770230,0.000000000000000,1793,-122.552736858000000,45.566631210300002,Perennial,4,Columbia Slough,2
104,7653747.810919372400000,705524.781394976890000,0.000293579770230,1418.000000000000000,1809,-122.641985918000000,45.581918613200003,Perennial,4,Columbia Slough,1
105,7618576.206538057900000,691258.315231936520000,0.000293579770230,0.000000000000000,1834,-122.777732746000000,45.540167183199998,Perennial,4,Tualatin River,1
106,7692504.056439992000000,694790.886991179430000,0.000293579770230,1708.000000000000000,1857,-122.489626499000000,45.555206665100002,Perennial,4,Columbia Slough,1
107,7624150.843503937100000,717710.021981626750000,0.000293579770230,1526.000000000000000,1865,-122.758870136000000,45.613115075899998,Perennial,4,Columbia Slough,2
108,7640914.145381128400000,657155.266377746590000,0.000293579770230,0.000000000000000,1936,-122.686979496000010,45.448361219900001,Perennial,4,Tryon Creek,1
109,7672218.347357843100000,699368.624584389380000,0.000293579770230,0.000000000000000,2113,-122.569252182000000,45.566360389800003,Perennial,4,Columbia Slough,1
110,7617622.987237593200000,692171.771030238250000,0.000293579770230,0.000000000000000,2154,-122.781552244000000,45.542597726200000,Perennial,4,Tualatin River,1
111,7625502.498569263100000,697111.356001793520000,0.000293579770230,1344.000000000000000,2185,-122.751347142000000,45.556746138599998,Perennial,4,Willamette Streams,1
112,7660094.651669644800000,660502.286097942500000,0.000293579770230,0.000000000000000,2208,-122.612607387000000,45.458937600200002,Perennial,4,Johnson Creek,2
113,7629578.595440212600000,687059.907922680960000,0.000293579770230,1258.000000000000000,2318,-122.734354885000000,45.529499382600001,Perennial,4,Willamette Streams,1
114,7691347.304773707900000,668308.668723563430000,0.000293579770230,1004.000000000000000,2320,-122.491592705000000,45.482518366500003,Perennial,4,Johnson Creek,2
115,7626546.625829977000000,657581.586602305880000,0.000293579770230,846.000000000000000,2290,-122.742988430000000,45.448449826000001,Perennial,4,Fanno Creek,1
116,7615435.536360799300000,707813.533602097420000,0.000293579770230,0.000000000000000,0553,-122.791818177000000,45.585310512800000,Intermittent,4,Willamette Streams,1
117,7620338.965275231700000,707380.112291016150000,0.000293579770230,0.000000000000000,0617,-122.772625340999990,45.584502117800000,Intermittent,4,Willamette Streams,1
118,7622665.417563158100000,699256.898423569280000,0.000293579770230,0.000000000000000,0649,-122.762653419000000,45.562410957399997,Intermittent,4,Willamette Streams,1
119,7629414.204308085100000,696041.440192640410000,0.000293579770230,0.000000000000000,0713,-122.735965965999990,45.554110769600001,Intermittent,4,Willamette Streams,1
120,7681142.371063822900000,663124.210137870510000,0.000293579770230,0.000000000000000,1148,-122.530860452000000,45.467606604700002,Intermittent,4,Johnson Creek,1
121,7640892.839281264700000,712944.084419025810000,0.000293579770230,0.000000000000000,1217,-122.692962428000000,45.601313864200002,Intermittent,4,Columbia Slough,1
122,7689051.647613134200000,659122.380967164410000,0.000293579770230,0.000000000000000,1500,-122.499654175000000,45.457175176699998,Intermittent,4,Johnson Creek,1
123,7636679.149213279600000,673906.305320167100000,0.000293579770230,0.000000000000000,1514,-122.705256843000000,45.493971850000001,Intermittent,4,Fanno Creek,1
124,7685954.174982271200000,663175.350001866230000,0.000293579770230,0.000000000000000,1552,-122.512115238000010,45.468077003900000,Intermittent,4,Johnson Creek,1
125,7644787.991361979400000,653721.588109756120000,0.000293579770230,0.000000000000000,1616,-122.671530562000000,45.439233543900002,Intermittent,4,Tryon Creek,1
126,7640905.094095194700000,672654.375027767850000,0.000293579770230,0.000000000000000,1720,-122.688650636999990,45.490854595199998,Intermittent,4,Willamette Streams,1
127,7636974.577851684800000,681889.942131625020000,0.000293579770230,0.000000000000000,1722,-122.704954789000000,45.515882434600002,Intermittent,4,Willamette Streams,1
128,7631271.446333523800000,713938.397527179680000,0.000293579770230,0.000000000000000,2377,-122.730647123000000,45.603317531400002,Perennial,4,Columbia Slough,2
